"","y2010","y2011","y2012","y2013","y2014","y2015","y2016","y2017","y2018","y2019","y2020","Lat","Lon"
"Adelaide",3841.8442779,3962.47968177,3694.9702875,2875.9318917,2162.30393558,1799.38049395,1581.82961866,1253.92606276,899.9236235,485.2411683,214.5753618,-34.56,138.31
"Brisbane",4094.2554743,2861.8444362,2724.829592,2406.2683952,1939.5759006,1978.5765856,1796.2216816,1361.46458296,948.6084579,505.7676991,286.1188547,-27.23,153.6
"Canberra",616.80082584,741.16710243,837.2641865,742.5993067,701.1590311,680.2732379,561.5278327,410.5144248,252.1711818,130.6217439,113.043636,-35.18,149.11
"Darwin",3218.8199775,2908.6789214,2432.7553165,2265.2526923,1884.2305014,1731.6158359,1405.3119155,1124.8567163,753.9936953,402.0925776,99.2863543,-12.24,130.52
"Hobart",747.92519419,825.83596728,701.5024213,494.93714885,396.35646299,358.72225219,318.36028518,281.63198409,185.3554954,100.14362516,39.8039494000001,-42.5,147.3
"Melbourne",1087.75505039,984.68675982,798.17794401,724.5595744,545.27349221,490.4444724,448.1202038,354.8659928,267.6183112,137.7995747,121.3674583,-37.4,144.5
"Perth",1076.1926644,819.9358048,788.9149519,792.0259647,513.1745028,412.6872123,332.7921055,279.6692124,191.079979,109.0034661,108.6113061,-31.56,115.57
"Sydney",0,0,0,0,0,0,0,0,0,0,0,-33.56,151.1
