"","y2010","y2011","y2012","y2013","y2014","y2015","y2016","y2017","y2018","y2019","y2020","Lat","Lon"
"Adelaide",7290643,7021407,7066892,7373874,7698864,7671169,7920173,8111934,8346303,8516171,2589413,-34.56,138.31
"Brisbane",19620448,20333850,21072762,21444838,21947817,22025496,22505596,22949267,23466763,24005706,7775041,-27.23,153.6
"Canberra",3304010,3208225,3065893,2956448,2811822,2805306,2909564,3105775,3248065,3238112,906589,-35.18,149.11
"Darwin",1641931,1911716,1972596,2023277,2117132,2062046,2099773,2104408,2003832,1983490,702406,-12.24,130.52
"Hobart",1882092,1844681,1919026,2091706,2127981,2238432,2378137,2510343,2676628,2781739,879663,-42.5,147.3
"Melbourne",27394764,27667504,28917592,30220427,31386793,32790213,34375189,35559520,36916629,37134291,8897392,-37.4,144.5
"Perth",10453562,11365500,12618339,12901712,12938926,12594365,12504661,12370492,12477719,12513516,3926078,-31.56,115.57
"Sydney",35650341,35673933,37008070,38150546,38732942,39808847,42017921,43330060,44429758,44428845,11226525,-33.56,151.1
